2026-08-11,info@coastlandci.com,COASTLAND CONSTRUCTION MANAGEMENT INC,"Sub pricing for your project at 4383 Sw 75 Ave — screed, stucco, painting, final clean"
2026-08-11,gneves@nv2agroup.com,NV2A GROUP LLC,"Sub pricing for your project at 18600 Nw 25 Ave — screed, stucco, painting, final clean"
2026-08-11,info@qualityconstruction.com,QUALITY CONSTRUCTION PERFORMANCE INC,"Sub pricing for your project at 1120 Caribbean Way — screed, stucco, painting, final clean"
2026-08-11,preconstruction@t-and-g.com,T & G CORPORATION DBA:T & G CONSTRUCTO,"Sub pricing for your project at 12875 Sw 248 St — screed, stucco, painting, final clean"
2026-08-11,ddemay@kastbuild.com,KAST CONSTRUCTION COMPANY FLORIDA LLC,"Sub pricing for your project at 11240 Biscayne Blvd — screed, stucco, painting, final clean"
2026-08-11,neifloridaestimating@neigc.com,"NEI GENERAL CONTRACTING, INC.","Sub pricing for your project at 1448 E Mowry Dr — screed, stucco, painting, final clean"
2026-08-11,alston@alstonco.com,ALSTON CONSTRUCTION COMPANY INC,"Sub pricing for your project at 14100 Sw 136 St — screed, stucco, painting, final clean"
2026-08-12,welcome@stansellconstr.com,STANSELL PROPERTIES & DEVELOPMENT LLC,"Restaurant furniture package for your project at 13725 Sw 152 St — booths, tables, chairs"
2026-08-12,info@johnbellconstruction.com,JOHN BELL CONSTRUCTION INC,"Sub pricing for your project at 1 Golden Beach Dr — screed, stucco, painting, final clean"
2026-08-12,bids@curtinmaritime.com,CURTIN MARITIME CORP,"Aggregate & material supply for U.S Naval Station Mayport Maintenance Dredging, Duval County — delivered pricing"
2026-08-12,cdabek@stoneandlime.com,"STONE & LIME IMPORTS, INC","Aggregate & material supply for Casa 324271, Castillo De San Marcos National Monument, Repai — delivered pricing"
2026-08-13,CONTACT_FORM zroofing.com,Z ROOFING & WATERPROOFING INC,стяжка/штукатурка/покраска/cleanup через контактную форму
2026-08-13,mgray@buildingblocksconst.com,BUILDING BLOCK REALTY LLC,"Sub pricing for your project at 3055 Ne 4 Ave — screed, stucco, painting, final clean"
2026-08-13,qualifications@brasfieldgorrie.com,BRASFIELD & GORRIE L.L.C.,"Sub pricing for your project at 827 Nw 65 Ave — screed, stucco, painting, final clean"
2026-08-13,info@dcconstructionassociates.com,DC CONSTRUCTION ASSOCIATES INC,"Sub pricing for your project at 9050 Sw 158 Ave — screed, stucco, painting, final clean"
2026-08-14,info@eliteroofingfl.com,ELITE ROOFING AND CONTRACTING INC,"Sub pricing for your project at 12400 Sw 152 St — screed, stucco, painting, final clean"
2026-08-16,lalo@toplineengineers.com,TOP LINE ENGINEERS INC (CA),Material supply & partnership — SF Bay
2026-08-16,info@velocitycsinc.com,VELOCITY CONSTRUCTION SERVICES INC (CA),Material supply & partnership — SF Bay
2026-08-16,info@rfcontractors.com,R F CONTRACTORS (CA),Material supply & partnership — SF Bay
2026-08-17,info@agcontractorscorp.com,A.G. CONTRACTORS CORP,"Sub pricing for your project at 151 Se 15 Rd — screed, stucco, painting, final clean"
2026-08-17,info@aawimpact.com,ALL AMERICAN WINDOWS AND DOORS LLC,"Sub pricing for your project at 11240 Biscayne Blvd — screed, stucco, painting, final clean"
2026-08-17,info@windowworksimpact.com,WINDOW WORKS IMPACT GLAZING INC,"Sub pricing for your project at 1 Mia Replacement Bldg 3032 — screed, stucco, painting, final clean"
2026-08-17,info@oakconstruction.com,OAK CONSTRUCTION CO INC,"Sub pricing for your project at 8710 Sw 72 St — screed, stucco, painting, final clean"
2026-08-17,office@mg3group.com,MG3 DEVELOPER GROUP LLC,"Sub pricing for your project at 9945 Sunset Dr — screed, stucco, painting, final clean"
2026-08-17,info@litecrete.com,LITECRETE INC,"Sub pricing for your project at 23300 Sw 88 Ave — screed, stucco, painting, final clean"
2026-08-17,info@buildingunlimitedgc.com,BUILDING UNLIMITED SERVICES INC,"Sub pricing for your project at 30 Canal St — screed, stucco, painting, final clean"
